ID_ESTACION_PUBLICO_ESPECIFICO,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,DESC_TIPO_DESTINACAO,GEOMETRIA
3379,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,MOTOFRETE,POINT (610494.3 7790799)
4356,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,MOTOFRETE,POINT (611437.4 7794681.5)
4356,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,MOTOFRETE,POINT (611437.4 7794681.5)
3387,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,20,200,1 HORA(S),RUA,CURITIBA,ENTRE RUA DOS TUPINAMBAS E RUA DOS CARIJOS,MOTOFRETE,POINT (610852.7 7797309)
3387,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,20,100,1 HORA(S),RUA,CURITIBA,ENTRE RUA DOS TUPINAMBAS E RUA DOS CARIJOS,MOTOFRETE,POINT (610852.7 7797309)
3389,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,18,180,1 HORA(S),RUA,DOS CARIJOS,ENTRE RUA DA BAHIA E RUA ESPIRITO SANTO,MOTOFRETE,POINT (611251.06 7797069.5)
3389,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,18,90,1 HORA(S),RUA,DOS CARIJOS,ENTRE RUA DA BAHIA E RUA ESPIRITO SANTO,MOTOFRETE,POINT (611251.06 7797069.5)
4357,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,5,50,1 HORA(S),RUA,EDGARD COELHO,ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES,MOTOFRETE,POINT (612562.3 7795268)
4357,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,5,25,1 HORA(S),RUA,EDGARD COELHO,ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES,MOTOFRETE,POINT (612562.3 7795268)
3391,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,1 HORA(S),RUA,DOS GOITACAZES,ENTRE RUA DA BAHIA E RUA ESPIRITO SANTO,MOTOFRETE,POINT (611142.7 7796663.5)
3391,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,1 HORA(S),RUA,DOS GOITACAZES,ENTRE RUA DA BAHIA E RUA ESPIRITO SANTO,MOTOFRETE,POINT (611142.7 7796663.5)
3392,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,1 HORA(S),RUA,DOS GUAICURUS,ENTRE RUA SAO PAULO E RUA CURITIBA,MOTOFRETE,POINT (610957.44 7797624)
3392,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,1 HORA(S),RUA,DOS GUAICURUS,ENTRE RUA SAO PAULO E RUA CURITIBA,MOTOFRETE,POINT (610957.44 7797624)
3396,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,MOTOFRETE,POINT (611149.56 7796793.5)
3396,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),RUA,ESPIRITO SANTO,ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS,MOTOFRETE,POINT (611149.56 7796793.5)
3398,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),RUA,RIO DE JANEIRO,ENTRE RUA DOS GUAJAJARAS E RUA DOS TIMBIRAS,MOTOFRETE,POINT (610895 7796423)
3398,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),RUA,RIO DE JANEIRO,ENTRE RUA DOS GUAJAJARAS E RUA DOS TIMBIRAS,MOTOFRETE,POINT (610895 7796423)
3399,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,18,180,1 HORA(S),RUA,RIO DE JANEIRO,ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS,MOTOFRETE,POINT (611047.5 7796957)
3399,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,18,90,1 HORA(S),RUA,RIO DE JANEIRO,ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS,MOTOFRETE,POINT (611047.5 7796957)
